,mse,r2,pearson,spearman,features,target,model_classpath,model_hparams,trained_on,evaluated_on,i,alpha,n_features,feat_names,feat_importance
0,0.07248930073013292,0.5175128351951686,0.8321677166663323,0.7897799807014547,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.03543090014651267},except_cosmosqa,cosmosqa,0,0.03543090014651267,4.0,"('bleurt', 'hf_rouge1', 'meteor', 'contextlength_word')","{'bleurt': 0.1203795595125836, 'hf_rouge1': 0.06203098047751345, 'meteor': 0.04893493972963724, 'contextlength_word': 0.0034580265442130656, 'intercept_': 0.3711015516976494}"
1,0.10327905496372927,0.23213857567426432,0.5846353665709618,0.5346090510031455,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.03543090014651267},except_drop,drop,0,0.03543090014651267,4.0,"('bleurt', 'meteor', 'hf_rouge1', 'contextlength_word')","{'bleurt': 0.14023478890119476, 'meteor': 0.05041311128627281, 'hf_rouge1': 0.04925823394676896, 'contextlength_word': 0.01711712618847637, 'intercept_': 0.3617026528865776}"
2,0.11315981362353719,0.22694433017866855,0.5352186135361638,0.5197481282375856,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.03543090014651267},except_mcscript,mcscript,0,0.03543090014651267,6.0,"('bleurt', 'meteor', 'hf_rouge1', 'contextlength_char', 'recall', 'precision')","{'bleurt': 0.14922358986489143, 'meteor': 0.06007417033156477, 'hf_rouge1': 0.03431528966524793, 'contextlength_char': 0.021690950275296366, 'recall': 0.008714898866016636, 'precision': 0.0034511928454561288, 'intercept_': 0.3499413219330232}"
3,0.09092576742614428,0.3933321208528555,0.6733121068938923,0.6926312530271331,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.03543090014651267},except_narrativeqa,narrativeqa,0,0.03543090014651267,4.0,"('bleurt', 'hf_rouge1', 'meteor', 'contextlength_word')","{'bleurt': 0.14087815388822933, 'hf_rouge1': 0.04987994250397503, 'meteor': 0.04575625155167444, 'contextlength_word': 0.0016237235453434304, 'intercept_': 0.33732731587422665}"
4,0.048529568624345404,0.3512203144620121,0.6523993997753281,0.5357693170237549,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.03543090014651267},except_quoref,quoref,0,0.03543090014651267,5.0,"('bleurt', 'meteor', 'hf_rouge1', 'contextlength_word', 'precision')","{'bleurt': 0.15062496943275883, 'meteor': 0.04700292231513131, 'hf_rouge1': 0.04021044443069178, 'contextlength_word': 0.029245436710801924, 'precision': 0.0021030646842433317, 'intercept_': 0.37490111470693993}"
5,0.057609036375966004,0.569277408033142,0.776108613397451,0.7489285703880859,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.03543090014651267},except_socialiqa,socialiqa,0,0.03543090014651267,5.0,"('bleurt', 'hf_rouge1', 'meteor', 'contextlength_word', 'questionnunique_words')","{'bleurt': 0.11263241033175476, 'hf_rouge1': 0.06182554200596627, 'meteor': 0.06023109273702277, 'contextlength_word': 0.010564569454669838, 'questionnunique_words': -0.004435118672993228, 'intercept_': 0.36367286559594253}"
6,0.15490180547094734,-0.031022953622715566,,,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.4105524684501101},except_cosmosqa,cosmosqa,1,0.4105524684501101,0.0,(),{'intercept_': 0.3711015516976494}
7,0.14669345520600602,-0.09063977679990964,,,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.4105524684501101},except_drop,drop,1,0.4105524684501101,0.0,(),{'intercept_': 0.3617026528865776}
8,0.1465143658056926,-0.0009185908804683063,,,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.4105524684501101},except_mcscript,mcscript,1,0.4105524684501101,0.0,(),{'intercept_': 0.3499413219330232}
9,0.15268935975532522,-0.01876214711456692,,,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.4105524684501101},except_narrativeqa,narrativeqa,1,0.4105524684501101,0.0,(),{'intercept_': 0.33732731587422665}
10,0.09653696658863375,-0.2905786019030343,,,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.4105524684501101},except_quoref,quoref,1,0.4105524684501101,0.0,(),{'intercept_': 0.37490111470693993}
11,0.13413733319287194,-0.002897869273499998,,,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.4105524684501101},except_socialiqa,socialiqa,1,0.4105524684501101,0.0,(),{'intercept_': 0.36367286559594253}
12,0.07659769044318654,0.4901674851283472,0.8330378466766714,0.7906430511885318,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.05603574793910298},except_cosmosqa,cosmosqa,2,0.05603574793910298,3.0,"('bleurt', 'hf_rouge1', 'meteor')","{'bleurt': 0.10800479620611746, 'hf_rouge1': 0.05380983146658254, 'meteor': 0.04155631554850653, 'intercept_': 0.3711015516976494}"
13,0.10536881096934679,0.21660161105418463,0.5748588643840348,0.5263148587201626,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.05603574793910298},except_drop,drop,2,0.05603574793910298,3.0,"('bleurt', 'hf_rouge1', 'meteor')","{'bleurt': 0.12555447842766865, 'hf_rouge1': 0.04252605538197608, 'meteor': 0.0424303114122989, 'intercept_': 0.3617026528865776}"
14,0.1129630394290207,0.22828860074499846,0.5388866114569263,0.5236243445860694,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.05603574793910298},except_mcscript,mcscript,2,0.05603574793910298,3.0,"('bleurt', 'meteor', 'hf_rouge1')","{'bleurt': 0.13137064453819408, 'meteor': 0.0539656584423935, 'hf_rouge1': 0.038040702686765016, 'intercept_': 0.3499413219330232}"
15,0.09501193860814636,0.3660686852505006,0.6711807326308245,0.6893596516881404,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.05603574793910298},except_narrativeqa,narrativeqa,2,0.05603574793910298,3.0,"('bleurt', 'hf_rouge1', 'meteor')","{'bleurt': 0.12930023925755785, 'hf_rouge1': 0.04157029833576402, 'meteor': 0.038374923287213036, 'intercept_': 0.33732731587422665}"
16,0.047836368472086686,0.36048753421165736,0.6383522820001664,0.5196256254477439,"['bleu1', 'bleu2', 'bleu3', 'bleu4', 'rougeL', 'hf_rouge1', 'hf_rouge2', 'meteor', 'recall', 'precision', 'f1_score', 'sari_context', 'sari_question', 'precision_at_err1', 'recall_at_err1', 'tp', 'fn', 'fp', 'char_edit_score', 'word_edit_score', 'bertscore', 'bleurt', 'candidatelength_word', 'candidatelength_char', 'candidatenunique_words', 'referencelength_word', 'referencelength_char', 'referencenunique_words', 'contextlength_word', 'contextlength_char', 'contextnunique_words', 'questionlength_word', 'questionlength_char', 'questionnunique_words']",score_scaled,Lasso,{'alpha': 0.05603574793910298},except_quoref,quoref,2,0.05603574793910298,4.0,"('bleurt', 'meteor', 'hf_rouge1', 'contextlength_word')","{'bleurt': 0.13639162105903874, 'meteor': 0.03820433090552397, 'hf_rouge1': 0.035805115775013364, 'contextlength_word': 0.005628444376008312, 'intercept_': 0.37490111470693993}"
